year,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt.jja,pdsi.aso,tmin.mjja,tmax.mjja,pdsi.sep,stream.yel,swe.yel,tmax.lsum
1733,,,,,,,,,,,,,175.3018242,46.781,-0.73
1734,,,,,,,,,,,,,116.0877611,57.072,-0.62
1735,,,,,,,,,,,,,56.20648616,59.066,-0.02
1736,,,,,,,,,,,,,83.7117528,63.911,-1.18
1737,,,,,,,,,,,,,104.1804995,43.284,-0.06
1738,,,,,,,,,,,,,77.58654907,48.502,-0.92
1739,,,,,,,,,,,,,88.87639604,45.34,0.8
1740,,,,,,,,,,,,,82.37329444,78.751,-0.43
1741,,,,,,,,,,,,,114.7589155,45.04,0.47
1742,,,,,,,,,,,,,93.92613149,75.558,1.22
1743,,,,,,,,,,,,,83.90472832,49.709,0.69
1744,,,,,,,,,,,,,56.20648616,58.262,0.92
1745,,,,,,,,,,,,,130.5528736,44.931,-0.13
1746,,,,,,,,,,,,,209.7907983,46.34,-0.99
1747,,,,,,,,,,,,,149.5500063,35.397,-0.58
1748,,,,,,,,,,,,,103.940891,43.734,0.06
1749,,,,,,,,,,,,,115.8207667,35.999,-0.02
1750,,,,,,,,,,,,,122.9663934,32.376,-1.33
1751,,,,,,,,,,,,,115.2886186,50.019,1.18
1752,,,,,,,,,,,,,100.4121892,71.112,-0.36
1753,,,,,,,,,,,,,85.26807048,62.525,0.28
1754,,,,,,,,,,,,,88.26457523,77.747,0.65
1755,,,,,,,,,,,,,81.24309047,33.939,-1.48
1756,,,,,,,,,,,,,41.28444357,23.218,1.59
1757,,,,,,,,,,,,,86.4542675,58.922,0.92
1758,,,,,,,,,,,,,91.99970516,46.792,-0.39
1759,,,,,,,,,,,,,69.9497933,29.753,0.65
1760,,,,,,,,,,,,,89.08127729,39.97,-0.2
1761,,,,,,,,,,,,,142.1629528,45.328,-0.07
1762,,,,,,,,,,,,,99.26278033,41.775,0.69
1763,,,,,,,,,,,,,91.99970516,54.584,-1.44
1764,,,,,,,,,,,,,122.6835786,45.918,-0.72
1765,,,,,,,,,,,,,75.82046359,45.214,0.36
1766,,,,,,,,,,,,,159.5094566,68.028,0.1
1767,,,,,,,,,,,,,185.2620373,62.626,-0.72
1768,,,,,,,,,,,,,150.9337754,39.134,-0.03
1769,,,,,,,,,,,,,110.6079735,64.63,-0.64
1770,,,,,,,,,,,,,74.78016783,50.235,0.53
1771,,,,,,,,,,,,,114.2316462,45.174,0.21
1772,,,,,,,,,,,,,86.65356517,56.532,0.39
1773,,,,,,,,,,,,,103.940891,33.479,1.31
1774,,,,,,,,,,,,,91.57700491,40.819,1.08
1775,,,,,,,,,,,,,163.2249091,86.926,-0.57
1776,,,,,,,,,,,,,126.1207183,23.231,1.29
1777,,,,,,,,,,,,,86.4542675,32.242,-0.34
1778,,,,,,,,,,,,,92.4243565,58.527,0.79
1779,,,,,,,,,,,,,110.6079735,76.294,-1.82
1780,,,,,,,,,,,,,101.8090618,37.874,-0.17
1781,,,,,,,,,,,,,82.37329444,86.553,-1.19
1782,,,,,,,,,,,,,53.92453832,46.72,-0.69
1783,,,,,,,,,,,,,68.04346724,50.854,0.15
1784,,,,,,,,,,,,,104.6613749,54.261,0.63
1785,,,,,,,,,,,,,92.63741665,62.416,-0.13
1786,,,,,,,,,,,,,105.6297947,43.977,0.61
1787,,,,,,,,,,,,,122.1198987,60.584,-2.51
